Abreviacion,Nombre Completo
LAMOSA.MX,"Grupo Lamosa, S.A.B. de C.V."
CABLECPO.MX,"Empresas Cablevisión, S.A.B. de C.V."
CERAMICB.MX,"Internacional de Cerámica, S.A.B. de C.V."
AGUA.MX,Grupo Rotoplas S.A.B. de C.V.
CIEB.MX,"Corporación Interamericana de Entretenimiento, S.A.B. de C.V."
ARA.MX,"Consorcio ARA, S. A. B. de C. V."
POCHTECB.MX,"Grupo Pochteca, S.A.B. de C.V."
ASURB.MX,"Grupo Aeroportuario del Sureste, S. A. B. de C. V."
FINDEP.MX,Financiera Independencia S.A.B. de C.V. SOFOM E.N.R.
POSADASA.MX,"Grupo Posadas, S.A.B. de C.V."
MINSAB.MX,"Grupo Minsa, S.A.B. de C.V."
GAPB.MX,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V."
INVEXA.MX,"INVEX Controladora, S.A.B. de C.V."
MONEXB.MX,"Monex, S.A.B. de C.V."
COLLADO.MX,"G Collado, S.A.B. de C.V."
UNIFINA.MX,"Unifin Financiera, S. A. B. de C. V."
ACTINVRB.MX,"Corporación Actinver, S. A. B. de C. V."
GFMULTIO.MX,"Grupo Financiero Multiva, S.A.B. de C.V."
ACCELSAB.MX,"Accel, S.A.B. de C.V."
AUTLANB.MX,"Compañía Minera Autlán, S.A.B. de C.V."
PASAB.MX,"Promotora Ambiental, S.A.B. de C.V."
OMAB.MX,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V."
PINFRA.MX,"Promotora y Operadora de Infraestructura, S. A. B. de C. V."
GBMO.MX,"Corporativo GBM, S.A.B. de C.V."
PV.MX,"Peña Verde, S.A.B."
CREAL.MX,"Crédito Real, S.A.B. de C.V., Sociedad Financiera de Objeto Múltiple, Entidad No Regulada"
TMMA.MX,"Grupo TMM, S.A.B."
VASCONI.MX,"Grupo Vasconia, S.A.B."
GMD.MX,"Grupo Mexicano de Desarrollo, S.A.B."
CMRB.MX,"CMR, S.A.B. de C.V."
BOLSAA.MX,"Bolsa Mexicana de Valores, S.A.B. de C.V."
VALUEGFO.MX,"Value Grupo Financiero, S.A.B. de C.V."
MEDICAB.MX,"Médica Sur, S.A.B. de C.V."
TERRA13.MX,Fibra Terrafina
FINAMEXO.MX,Casa de Bolsa Finamex S.A.B. de C.V.
DANHOS13.MX,Fibra Danhos
FIHO12.MX,FibraHotel
CIDMEGA.MX,"Grupe, S.A.B. de C.V."
HCITY.MX,"Hoteles City Express, S.A.B. de C.V."
ARISTOSA.MX,"Consorcio Aristos, S.A.B. de C.V."
SPORTS.MX,"Grupo Sports World, S.A.B. de C.V."
DINEB.MX,"DINE, S.A.B. de C.V."
CONVERA.MX,"Convertidora Industrial, S.A.B. de C.V."
VESTA.MX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V."
RCENTROA.MX,"Grupo Radio Centro, S.A.B. de C.V."
FINN13.MX,Fibra Inn
HOGARB.MX,Consorcio Hogar SAB de CV
HOTEL.MX,"Grupo Hotelero Santa Fe, S.A.B. de C.V."
FSHOP13.MX,Fibra Shop
TEAKCPO.MX,"Proteak Uno, S.A.B. de C.V."
HILASALA.MX,"Hilasal Mexicana, S.A.B. de C.V."
LASEG.MX,La Latinoamericana Seguros SA
SAREB.MX,"Sare Holding, S.A.B. de C.V."
FMTY14.MX,"Fibra Mty, S.A.P.I. de C.V."
EDOARDOB.MX,Edoardos Martin SAB De CV
GEOB.MX,"Corporación Geo, S.A.B. de C.V."
GOMO.MX,Grupo Comercial Gomo SA de CV
HOMEX.MX,"Desarrolladora Homex, S.A.B. de C.V."
URBI.MX,"Urbi, Desarrollos Urbanos, S.A.B. de C.V."
